Date,Value_Benchmark,Value_EqualWeight,Value_RebalanceStrategy
2024-04-05,48786.70483134397,51378.058650389125,48978.773284112576
2024-04-06,49187.50908613548,51641.928240914654,50008.15134057066
2024-04-07,49187.50908613548,51641.928240914654,50008.15134057066
2024-04-08,49187.50908613548,51641.928240914654,50008.15134057066
2024-04-09,49305.29543262118,51561.59193548958,50631.1359947056
2024-04-10,48678.6846974083,51395.428119706274,49833.51394765187
2024-04-11,49203.298655234255,51434.61888237544,49710.379851639605
2024-04-12,48334.11761171375,51622.24708901632,49642.99959639305
2024-04-13,47871.21400818659,51882.92016986969,48921.73317360149
2024-04-14,47871.21400818659,51882.92016986969,48921.73317360149
2024-04-15,47871.21400818659,51882.92016986969,48921.73317360149
2024-04-16,48077.98156532061,51840.84258651715,48265.61042280415
2024-04-17,48025.035349538564,51816.06013643146,48491.74370127848
2024-04-18,48046.768993337144,51734.96174761271,47797.86002045248
2024-04-19,47245.006091574935,52077.4604454841,48631.27206328017
2024-04-20,47668.183849888235,52578.05878408167,49173.70901957089
2024-04-21,47668.183849888235,52578.05878408167,49173.70901957089
2024-04-22,47668.183849888235,52578.05878408167,49173.70901957089
2024-04-23,48307.258472809786,53181.32320832733,50437.64970857371
2024-04-24,48443.34631549459,53593.70755118737,51587.32892773892
2024-04-25,48295.99266862766,54076.64191235031,53428.201977456374
2024-04-26,49675.08469359487,55271.11151727493,54971.457851382016
2024-04-27,49905.74598256933,55887.32331764959,57880.33267227604
2024-04-28,49905.74598256933,55887.32331764959,57880.33267227604
2024-04-29,49905.74598256933,55887.32331764959,57880.33267227604
2024-04-30,48556.140828434036,54880.55228711062,56118.95899059956
2024-05-01,48451.57221004093,54652.53086280644,54721.23578060261
2024-05-02,49435.529607715085,55032.61453313351,55567.96002370599
2024-05-03,49790.18821128725,55460.57055495088,56612.53267559451
2024-05-04,50488.00955462416,55726.94328470969,58005.75373721957
2024-05-05,50488.00955462416,55726.94328470969,58005.75373721957
2024-05-06,50488.00955462416,55726.94328470969,58005.75373721957
2024-05-07,50373.032232103746,55483.497755685494,56715.126339089846
2024-05-08,50330.97546664886,55425.25883234018,56307.180618330225
2024-05-09,50502.009352353125,55137.72913286276,55471.08283941901
2024-05-10,50217.9042961844,55179.73569993148,55388.160403630034
2024-05-11,50508.56956354951,55578.21199928717,56007.26553128507
2024-05-12,50508.56956354951,55578.21199928717,56007.26553128507
2024-05-13,50508.56956354951,55578.21199928717,56007.26553128507
2024-05-14,51133.37636048857,56102.865469188575,57031.08522924056
2024-05-15,51196.393356244706,56340.76913034568,57573.57392527046
2024-05-16,51145.316583862164,56775.23498075267,57683.771602081055
2024-05-17,51511.53189546061,56535.76405670077,57418.18254000466
2024-05-18,51518.6864847179,56705.4979993942,57799.034956759984
2024-05-19,51518.6864847179,56705.4979993942,57799.034956759984
2024-05-20,51518.6864847179,56705.4979993942,57799.034956759984
2024-05-21,51916.73462131557,56988.62940571113,59369.367097659044
2024-05-22,51491.70807145186,56851.95356391746,58471.54335420982
2024-05-23,51020.41919888963,57026.73329669847,60219.72613858686
2024-05-24,51410.86228870301,57383.92374115403,61665.62772418039
2024-05-25,51801.43803220744,57992.03898549792,63556.6608569345
2024-05-26,51801.43803220744,57992.03898549792,63556.6608569345
2024-05-27,51801.43803220744,57992.03898549792,63556.6608569345
2024-05-28,51801.43803220744,57992.03898549792,63556.6608569345
2024-05-29,51344.67393904493,58047.71845244227,63375.24984522846
2024-05-30,51011.49286490957,58148.65796839805,64287.120338848596
2024-05-31,51280.500242802846,58153.25109844602,64331.502584844406
2024-06-01,51622.681901460404,57992.16043556894,63306.41668769231
2024-06-02,51622.681901460404,57992.16043556894,63306.41668769231
2024-06-03,51622.681901460404,57992.16043556895,63306.41668769233
2024-06-04,51843.56393251587,58181.46712605769,63123.53403500649
2024-06-05,52529.68311923638,58238.269193369546,63017.54679133735
2024-06-06,52793.86647831899,58466.1777207735,63649.27364487387
2024-06-07,52487.95530785846,58317.783108778196,63359.98264206809
2024-06-08,52585.23282782502,58242.437886925334,62864.45611398635
2024-06-09,52585.23282782502,58242.437886925334,62864.45611398635
2024-06-10,52585.23282782502,58242.437886925334,62864.45611398635
2024-06-11,52238.023683959895,58368.30612090003,62645.749169966526
2024-06-12,52602.077000393554,58740.39777699582,63537.561510456064
2024-06-13,52618.88031265205,58998.225936504314,63877.67289543659
2024-06-14,52314.45176094137,59049.69320290553,63329.67688063749
2024-06-15,52629.85458437014,59316.49666160121,64750.49840286595
2024-06-16,52629.85458437014,59316.49666160121,64750.49840286595
2024-06-17,52629.85458437014,59316.49666160121,64750.49840286595
2024-06-18,52664.7066631949,58996.88224339206,63952.720601173496
2024-06-19,52547.55963209005,58944.329885212894,63783.857521969585
2024-06-20,52547.55963209005,58944.329885212894,63783.857521969585
2024-06-21,52477.090846020576,59527.555660898244,64571.64341378262
2024-06-22,52286.897458208194,59626.92591009471,64860.3642844342
2024-06-23,52286.897458208194,59626.92591009471,64860.3642844342
2024-06-24,52286.897458208194,59626.92591009471,64860.3642844342
2024-06-25,52661.246762450086,59702.68792553939,65572.46820204094
2024-06-26,53123.27935933736,59766.25019722888,66790.74857826853
2024-06-27,53235.94240554019,60268.439763299815,67280.96596538831
2024-06-28,52472.56849482427,60605.979985343205,67150.85181349392
2024-06-29,52981.52479484958,60981.52142115555,68907.83310290027
2024-06-30,52981.52479484958,60981.52142115555,68907.83310290027
