Date,Total_Portfolio_Value,Uninvested_Capital,AMZN_Value,BA_Value,CAT_Value,GOOGL_Value,GS_Value,NKE_Value,NVDA_Value,SOFI_Value,TSLA_Value,UNH_Value
2024-05-25,57373.134437272456,0.0,564.52,532.67,525.72,12262.42,17943.73,532.93,737.67,555.79,6770.55,16947.14
2024-05-26,57373.134437272456,0.0,564.52,532.67,525.72,12262.42,17943.73,532.93,737.67,555.79,6770.55,16947.14
2024-05-27,57373.134437272456,0.0,564.52,532.67,525.72,12262.42,17943.73,532.93,737.67,555.79,6770.55,16947.14
2024-05-28,57373.134437272456,0.0,564.52,532.67,525.72,12262.42,17943.73,532.93,737.67,555.79,6770.55,16947.14
2024-05-29,57538.96256359956,0.0,564.12,537.96,532.18,12227.66,17840.71,533.89,734.67,552.57,6749.1,17266.11
2024-05-30,57108.99334056587,0.0,555.75,541.41,531.28,11964.2,17676.21,528.78,748.51,557.41,6848.69,17156.75
2024-05-31,57826.417778326395,0.0,546.83,533.95,531.85,11991.31,17923.16,524.31,751.45,556.6,6821.49,17645.47
2024-06-01,57819.79944356992,0.0,552.71,554.87,537.57,12037.89,17862.7,522.76,733.05,546.11,6752.93,17719.2
2024-06-02,57819.79944356992,0.0,552.71,554.87,537.57,12037.89,17862.7,522.76,733.05,546.11,6752.93,17719.2
2024-06-03,57819.79944356992,0.0,552.71,554.87,537.57,12037.89,17862.7,522.76,733.05,546.11,6752.93,17719.2
2024-06-03,57819.79944356992,-7.275957614183426e-12,578.2,7447.19,2041.04,578.2,14836.56,14281.49,16322.53,578.2,578.2,578.2
2024-06-04,57966.70690300921,-7.275957614183426e-12,581.44,7610.6,2052.81,580.27,14846.99,14332.93,16220.55,580.35,573.21,587.55
2024-06-05,57688.62985068505,-7.275957614183426e-12,587.73,7585.91,2046.95,585.68,15055.04,14269.39,15802.42,596.75,573.97,584.8
2024-06-06,57888.583127889615,-7.275957614183426e-12,599.79,7554.74,2050.56,590.08,14938.3,14481.19,15895.47,611.43,583.61,583.41
2024-06-07,57906.53551732586,-7.275957614183426e-12,597.52,7578.13,2048.53,582.51,14834.28,14606.76,15902.7,603.66,582.1,570.35
2024-06-08,57727.77574122739,-7.275957614183426e-12,606.47,7580.52,2046.45,585.01,14789.93,14523.55,15843.37,607.12,570.0,575.36
2024-06-09,57727.77574122739,-7.275957614183426e-12,606.47,7580.52,2046.45,585.01,14789.93,14523.55,15843.37,607.12,570.0,575.36
2024-06-10,57727.77574122739,-7.275957614183426e-12,606.47,7580.52,2046.45,585.01,14789.93,14523.55,15843.37,607.12,570.0,575.36
2024-06-11,57557.57743516735,-7.275957614183426e-12,607.02,7674.34,2053.63,590.39,14487.31,14503.88,15899.96,604.53,559.73,576.78
2024-06-12,57670.232889700346,-7.275957614183426e-12,605.92,7733.56,2049.19,594.31,14631.77,14672.43,15617.89,610.57,581.48,573.12
2024-06-13,57476.40118895185,-7.275957614183426e-12,610.88,7775.6,2056.61,585.51,14555.14,14750.75,15342.83,622.58,598.47,578.04
2024-06-14,57505.40164505417,-7.275957614183426e-12,611.16,7850.46,2072.2,590.96,14558.73,14813.0,15208.47,638.75,583.84,577.83
2024-06-15,57624.16248738221,-7.275957614183426e-12,610.5,7900.06,2069.21,592.47,14680.03,14686.95,15260.37,638.75,614.77,571.07
2024-06-16,57624.16248738221,-7.275957614183426e-12,610.5,7900.06,2069.21,592.47,14680.03,14686.95,15260.37,638.75,614.77,571.07
2024-06-17,57624.16248738221,-7.275957614183426e-12,610.5,7900.06,2069.21,592.47,14680.03,14686.95,15260.37,638.75,614.77,571.07
2024-06-18,57423.258165370884,-7.275957614183426e-12,612.57,7749.49,2060.47,585.28,14916.45,14703.98,14992.39,634.79,606.31,561.52
2024-06-19,57588.50061685663,-7.275957614183426e-12,607.06,7720.65,2047.94,589.32,14936.67,14643.08,15257.79,624.91,595.52,565.57
2024-06-20,57588.50061685663,-7.275957614183426e-12,607.06,7720.65,2047.94,589.32,14936.67,14643.08,15257.79,624.91,595.52,565.57
2024-06-21,57866.42875364075,-7.275957614183426e-12,602.2,7732.03,2051.97,600.46,15066.66,14521.28,15503.37,624.91,600.24,563.32
2024-06-22,58755.34508527878,-7.275957614183426e-12,607.79,7677.01,2045.24,599.09,15465.27,14522.03,16021.5,646.66,598.83,571.94
2024-06-23,58755.34508527878,-7.275957614183426e-12,607.79,7677.01,2045.24,599.09,15465.27,14522.03,16021.5,646.66,598.83,571.94
2024-06-24,58755.34508527878,-7.275957614183426e-12,607.79,7677.01,2045.24,599.09,15465.27,14522.03,16021.5,646.66,598.83,571.94
2024-06-25,57805.26824268238,-7.275957614183426e-12,606.52,7764.2,2053.35,615.16,15307.64,14160.36,15480.26,637.76,614.47,565.55
2024-06-26,57732.71482407933,-7.275957614183426e-12,594.69,7689.9,2055.45,614.66,15256.76,14212.2,15461.23,638.75,644.06,565.01
2024-06-27,57464.48455336141,-7.275957614183426e-12,588.18,7604.95,2053.16,619.78,14925.43,14202.39,15608.62,646.66,647.5,567.81
2024-06-28,59404.12347900689,-7.275957614183426e-12,595.02,7615.39,2035.7,608.88,15138.29,15876.86,15636.95,653.58,649.01,594.45
2024-06-29,59923.44541930156,-7.275957614183426e-12,588.94,7519.13,2011.13,611.69,15517.82,16184.41,15588.85,635.78,688.3,577.39
2024-06-30,59923.44541930156,-7.275957614183426e-12,588.94,7519.13,2011.13,611.69,15517.82,16184.41,15588.85,635.78,688.3,577.39
2024-07-01,59923.44541930156,-7.275957614183426e-12,588.94,7519.13,2011.13,611.69,15517.82,16184.41,15588.85,635.78,688.3,577.39
2024-07-01,59923.44541930156,-7.275957614183426e-12,11481.33,599.23,599.23,11774.96,8910.62,599.23,4332.47,599.23,6124.18,14902.96
2024-07-02,60725.283882126394,-7.275957614183426e-12,11399.82,601.3,600.44,11919.74,8891.94,593.07,4360.87,598.3,6748.67,15011.12
2024-07-03,60955.39764282859,-7.275957614183426e-12,11468.51,603.11,597.85,11957.06,8936.05,586.83,4261.16,595.08,7190.2,14759.55
2024-07-04,61036.231286923234,-7.275957614183426e-12,11398.56,604.81,593.76,12264.64,8875.51,588.32,4301.85,590.52,7115.35,14702.91
2024-07-05,61036.231286923234,-7.275957614183426e-12,11398.56,604.81,593.76,12264.64,8875.51,588.32,4301.85,590.52,7115.35,14702.91
2024-07-06,60932.51545972696,-7.275957614183426e-12,11418.8,603.16,593.12,12163.62,8876.85,597.82,4261.33,579.57,7095.26,14742.98
2024-07-07,60932.51545972696,-7.275957614183426e-12,11418.8,603.16,593.12,12163.62,8876.85,597.82,4261.33,579.57,7095.26,14742.98
2024-07-08,60932.51545972696,-7.275957614183426e-12,11418.8,603.16,593.12,12163.62,8876.85,597.82,4261.33,579.57,7095.26,14742.98
2024-07-09,60972.401642385776,-7.275957614183426e-12,11417.37,607.43,587.71,12160.4,9029.82,592.99,4208.48,578.2,6963.56,14826.43
2024-07-10,61229.86782692724,-7.275957614183426e-12,11404.48,606.62,585.54,12301.96,8972.51,593.65,4151.94,569.78,6951.22,15092.17
2024-07-11,61551.65010679169,-7.275957614183426e-12,11539.76,606.32,590.27,11940.97,8978.88,600.6,4267.51,587.13,7244.71,15195.51
2024-07-12,61609.32062776211,-7.275957614183426e-12,11556.33,608.97,598.22,11908.8,8972.79,600.85,4236.69,578.64,7136.5,15411.53
2024-07-13,62027.988001986545,-7.275957614183426e-12,11608.91,598.29,616.36,12002.75,9203.71,583.58,4249.8,564.25,7073.11,15527.22
2024-07-14,62027.988001986545,-7.275957614183426e-12,11608.91,598.29,616.36,12002.75,9203.71,583.58,4249.8,564.25,7073.11,15527.22
2024-07-15,62027.988001986545,-7.275957614183426e-12,11608.91,598.29,616.36,12002.75,9203.71,583.58,4249.8,564.25,7073.11,15527.22
2024-07-16,63115.05421041341,-7.275957614183426e-12,11626.99,621.47,642.76,11834.8,9405.46,595.86,4284.21,548.75,7018.23,16536.52
2024-07-17,62504.08980223749,-7.275957614183426e-12,11320.38,617.43,637.81,11648.19,9413.33,597.99,4426.11,545.59,7128.47,16168.8
2024-07-18,62231.03467999081,-7.275957614183426e-12,11068.59,625.27,639.39,11433.92,9566.67,592.34,4367.96,524.02,7118.0,16294.87
2024-07-19,62362.955752330505,-7.275957614183426e-12,11031.24,623.33,647.07,11431.98,9541.49,594.96,4424.96,526.12,7261.23,16280.58
2024-07-20,62448.42281349891,-7.275957614183426e-12,10996.3,624.67,645.53,11690.02,9583.0,612.63,4319.71,523.67,7074.39,16378.49
2024-07-21,62448.42281349891,-7.275957614183426e-12,10996.3,624.67,645.53,11690.02,9583.0,612.63,4319.71,523.67,7074.39,16378.49
2024-07-22,62448.42281349891,-7.275957614183426e-12,10996.3,624.67,645.53,11690.02,9583.0,612.63,4319.71,523.67,7074.39,16378.49
2024-07-23,62945.63131153226,-7.275957614183426e-12,11228.82,651.14,638.67,11697.74,9683.55,600.69,4336.32,527.53,7146.54,16434.65
2024-07-24,62346.491235576956,-7.275957614183426e-12,10892.69,628.75,623.58,11108.32,9576.32,581.78,4483.82,504.1,7587.28,16359.84
2024-07-25,62051.59359937852,-7.275957614183426e-12,10833.66,643.7,638.91,10764.06,9674.89,584.4,4522.48,516.17,7512.46,16360.86
2024-07-26,62208.07980402536,-7.275957614183426e-12,10993.29,652.57,650.38,10746.04,9818.92,579.75,4506.77,526.11,7520.14,16214.12
2024-07-27,62143.78979554077,-7.275957614183426e-12,11035.46,655.13,639.34,10908.84,9694.76,587.66,4536.07,520.43,7309.72,16256.38
2024-07-28,62143.78979554077,-7.275957614183426e-12,11035.46,655.13,639.34,10908.84,9694.76,587.66,4536.07,520.43,7309.72,16256.38
2024-07-29,62143.78979554077,-7.275957614183426e-12,11035.46,655.13,639.34,10908.84,9694.76,587.66,4536.07,520.43,7309.72,16256.38
2024-07-30,62534.200192666765,-7.275957614183426e-12,10945.7,652.62,634.12,10957.74,9949.57,593.81,4695.82,526.82,7459.0,16118.98
2024-07-31,63334.44336473582,-7.275957614183426e-12,11263.15,646.19,630.0,11038.18,9916.68,598.13,5297.45,522.61,7300.69,16121.36
2024-08-01,62869.787220453385,-7.275957614183426e-12,11087.86,668.08,643.8,10987.99,9743.1,590.06,4943.9,496.28,7539.94,16168.79
2024-08-01,62869.787220453385,0.0,628.7,628.7,666.42,628.7,18860.94,2477.07,628.7,18860.94,628.7,18860.94
