Date,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-03-20,191.942215,0,192.1670705,189.2830032,189.8500425,0,9367000
2024-03-21,194.6111603,0,194.9728863,191.9421778,192.1279339,0,11203800
2024-03-22,192.225708,0,195.9994409,192.1474941,194.562293,0,8105800
2024-03-25,190.4659576,0,192.5385728,190.0162317,192.2061751,0,8620000
2024-03-26,191.3556061,0,192.2648292,189.7229309,190.2410847,0,5961500
2024-03-27,195.0609131,0,195.1391269,191.9910898,192.1084032,0,8725800
2024-03-28,195.8234863,0,196.2340979,194.1028111,195.0315915,0,8628300
2024-04-01,194.493866,0,196.4491677,194.1321399,195.5204024,0,7309000
2024-04-02,194.4156494,0,195.3150864,193.6530829,193.9561523,0,7014700
2024-04-03,193.8681641,0,195.0999987,193.2815676,194.5916161,0,9353400
2024-04-04,192.3931427,1.15,196.3560569,192.2948163,195.8348806,0,9243800
2024-04-05,194.1631775,0,194.8220226,191.8621335,192.8946579,0,6531000
2024-04-08,195.1760254,0,195.6677022,194.3303407,194.3303407,0,8001000
2024-04-09,193.8681641,0,195.5693767,191.6654615,194.7728626,0,7358600
2024-04-10,192.2161407,0,193.7895126,190.9476061,192.2948108,0,7681400
2024-04-11,192.1768036,0,193.2978412,190.0232716,192.7373224,0,10137700
2024-04-12,179.7471924,0,185.7849827,179.501354,185.1851514,0,31506200
2024-04-15,179.8455353,0,184.3394683,179.1670189,181.4287351,0,14766600
2024-04-16,177.790329,0,180.111044,176.6594634,179.8553625,0,16451800
2024-04-17,177.0823364,0,179.3833805,176.2169804,178.3508561,0,9017100
2024-04-18,178.2328644,0,180.3077414,176.9741728,178.0853673,0,9557700
2024-04-19,182.7071075,0,182.7857776,178.3901857,179.3636962,0,13380200
2024-04-22,186.257019,0,186.9650349,182.8841082,182.8939513,0,11529700
2024-04-23,188.9415741,0,189.0300723,187.3485459,187.9483923,0,9144400
2024-04-24,189.865921,0,190.0134181,187.0043584,187.3583663,0,6964900
2024-04-25,190.1510773,0,190.711596,187.9975305,189.0497261,0,9802300
2024-04-26,190.269104,0,191.6261218,189.8462541,190.3477741,0,6413700
2024-04-29,190.0625916,0,191.0262739,189.226735,190.2592593,0,5387800
2024-04-30,188.548233,0,191.7441324,188.4498917,189.6004136,0,8153700
2024-05-01,188.6662292,0,191.2229547,187.6140337,189.0694078,0,7445300
2024-05-02,188.4695435,0,190.2789104,186.3651675,189.8560756,0,6501700
2024-05-03,187.3386993,0,189.3250779,185.3228364,188.8039017,0,8922800
2024-05-06,188.803894,0,189.0005618,186.6601904,188.5383844,0,7911100
2024-05-07,188.5580597,0,189.7184098,188.4597183,188.508889,0,7688800
2024-05-08,192.3931427,0,193.3764964,187.8205541,187.8205541,0,9227600
2024-05-09,194.2123413,0,194.3008395,191.8522986,191.9211256,0,7977300
2024-05-10,195.4612122,0,196.0217159,194.9695353,195.23503,0,7529800
2024-05-13,195.4218597,0,196.523226,194.7433433,195.4907017,0,7049200
2024-05-14,198.1555634,0,198.2244053,194.861338,195.6873514,0,8596200
2024-05-15,198.7456055,0,199.3159524,196.4445615,198.6472641,0,8370000
2024-05-16,199.0996094,0,201.0761448,198.6276038,198.853771,0,8497900
2024-05-17,201.3809814,0,201.636663,199.4339455,200.4172991,0,9260500
2024-05-20,192.324295,0,202.4528399,192.1472836,200.9876377,0,17373300
2024-05-21,196.1987152,0,196.5723794,193.3273245,193.7206599,0,14420800
2024-05-22,195.0088501,0,197.5950749,194.3991757,195.6873665,0,9425300
2024-05-23,193.6419983,0,194.9990311,192.8061567,194.5171824,0,8069400
2024-05-24,197.3689117,0,197.4180674,194.2713388,194.4581784,0,7355400
2024-05-28,196.1790466,0,197.073902,195.3530332,196.5330545,0,6910200
2024-05-29,194.8121796,0,195.6775355,193.612487,194.7040101,0,6120000
2024-05-30,196.0118866,0,196.5232347,195.0973599,195.2547001,0,6829700
2024-05-31,199.2569427,0,199.9157879,195.0481906,195.9823735,0,14417900
2024-06-03,198.460434,0,199.0504371,195.8742091,198.9422676,0,6444300
2024-06-04,195.8447266,0,198.6177762,194.9793705,196.8280803,0,6848300
2024-06-05,193.9763336,0,196.4937315,193.641997,196.4347177,0,8351600
2024-06-06,193.6321564,0,194.7236794,192.0784559,193.9763211,0,7640300
2024-06-07,196.6215668,0,197.575421,193.7305045,194.1435113,0,6964500
2024-06-10,196.2872162,0,197.4967369,195.1366943,195.9233801,0,6071200
2024-06-11,191.1246033,0,194.6450109,190.3772599,194.6155115,0,9235300
2024-06-12,188.3417206,0,193.4453283,188.1253816,192.7373125,0,12751300
2024-06-13,190.4362793,0,191.3409629,187.7025572,189.118589,0,8587800
2024-06-14,190.5542603,0,191.6162839,188.2335451,188.2630446,0,6874000
2024-06-17,191.7342834,0,192.3243016,189.4332396,190.259253,0,8725400
2024-06-18,193.7206726,0,194.6646987,190.8984524,191.3606298,0,9023000
2024-06-20,195.3628693,0,196.1298839,192.8454863,193.1208241,0,8731100
2024-06-21,193.0323181,0,193.887831,190.9869408,193.4354967,0,20972500
